"X123_part1" "X123_part2" "belov_part1" "belov_part2" "erkhov_part1" "erkhov_part2" "gasparov_part1" "gasparov_part2" "gasparov_part3" "gasparov_part4" "karelsky_part1" "karelsky_part2" "karelsky_part3" "karelsky_part4" "sanovich_part1" "sanovich_part2" "shishkin_part1" "shishkin_part2" "smirnov_part1" "smirnov_part2"
"потом" 0.13 0.2 0.08 0.09 0.07 0.09 0.18 0.12 0.14 0.14 0.11 0.09 0.05 0.11 0.12 0.08 0.12 0.14 0.21 0.28
"решать" 0.11 0.09 0.11 0.07 0.08 0.07 0.05 0.03 0.06 0.06 0.15 0.12 0.13 0.09 0.12 0.26 0.07 0.24 0.39 0.23
"если" 0.1 0.05 0.13 0.24 0.1 0.12 0.12 0.22 0.15 0.22 0.09 0.12 0.13 0.04 0.18 0.16 0.16 0.17 0.01 0.01
"муж" 0.03 0.08 0.12 0.09 0.16 0.06 0.08 0.18 0.14 0.05 0.1 0.06 0.11 0.1 0.17 0.2 0.02 0.1 0.31 0.33
"рука" 0.13 0.04 0.07 0.09 0.11 0.15 0.18 0.14 0.15 0.1 0.08 0.13 0.3 0.13 0.09 0.14 0.17 0.12 0.07 0.08
"смерть" 0.12 0.08 0.04 0.07 0.12 0.15 0.05 0.14 0.16 0.29 0.15 0.08 0.29 0.11 0.05 0.18 0.03 0.21 0.12 0.03
"вот" 0.05 0.09 0.06 0.12 0.06 0.07 0.49 0.19 0.38 0.2 0.08 0.03 0.11 0.08 0.07 0.08 0.04 0.02 0.09 0.13
"под" 0.11 0.07 0.11 0.15 0.12 0.08 0.2 0.14 0.09 0.16 0.11 0.08 0.07 0.21 0.18 0.1 0.13 0.1 0.1 0.12
"давать" 0.08 0.12 0.11 0.16 0.09 0.14 0.09 0.23 0.11 0.2 0.07 0.1 0.09 0.18 0.08 0.08 0.09 0.22 0.09 0.08
"видеть" 0.22 0.07 0.07 0.05 0.15 0.09 0.16 0.14 0.11 0.17 0.11 0.04 0.13 0.11 0.22 0.18 0.16 0.14 0.04 0.01
"два" 0.11 0.17 0.13 0.08 0.02 0.05 0.23 0.14 0.12 0.14 0.11 0.15 0.12 0.09 0.14 0.07 0.13 0.08 0.2 0.06
"раз" 0.05 0.1 0.16 0.11 0.16 0.14 0.04 0.05 0.07 0.03 0.12 0.17 0.11 0.19 0.09 0.12 0.04 0.09 0.21 0.26
"брат" 0.19 0.09 0.01 0.03 0.04 0.05 0.12 0.11 0.06 0.27 0.11 0.05 0.34 0.15 0.02 0.36 0.15 0.03 0.06 0.06
"оказываться" 0.08 0.15 0.25 0.17 0.06 0.05 0.01 0.05 0.06 0.02 0.17 0.09 0.09 0.06 0.09 0.13 0.1 0.11 0.29 0.27
"тут" 0.11 0.02 0.08 0.08 0.1 0.1 0.12 0.09 0.22 0.06 0.08 0.31 0.17 0.15 0.02 0.01 0.07 0.05 0.23 0.21
"слово" 0.14 0.08 0.1 0.04 0.14 0.12 0.18 0.11 0.09 0.07 0.12 0.15 0.25 0.13 0.07 0.12 0.08 0.09 0.13 0.06
"город" 0.11 0.03 0.23 0.11 0.07 0.1 0.17 0.16 0.09 0.2 0.11 0.06 0.11 0.17 0.01 0.04 0.13 0.06 0.17 0.1
"даже" 0.12 0.14 0.03 0.06 0.13 0.11 0.06 0.05 0.12 0.08 0.09 0.16 0.11 0.13 0.13 0.15 0.05 0.06 0.29 0.16
"дочь" 0.12 0.1 0.01 0.07 0.17 0.13 0.09 0.22 0.06 0.12 0.05 0.09 0.09 0.19 0.14 0.09 0.07 0.07 0.21 0.09
"приходить" 0.08 0.08 0.04 0.13 0.03 0.08 0.09 0.11 0.13 0.12 0.05 0.08 0.11 0.08 0.22 0.25 0.1 0.14 0.11 0.15
"ли" 0.07 0.05 0.1 0.06 0.17 0.16 0.08 0.15 0.16 0.16 0.08 0.05 0.09 0.05 0.14 0.14 0.04 0.09 0.11 0.2
"какой" 0.08 0.09 0.07 0.14 0.05 0.12 0.15 0.04 0.08 0.08 0.2 0.12 0.13 0.12 0.14 0.08 0.09 0.13 0.11 0.11
"понимать" 0.05 0.08 0.13 0.16 0.07 0.18 0.04 0.04 0.08 0.05 0.09 0.06 0.05 0.03 0.17 0.18 0.13 0.18 0.15 0.18
"новый" 0.05 0.16 0.17 0.12 0.16 0.14 0.19 0.08 0.11 0.02 0.09 0.09 0.08 0.08 0.07 0.06 0.06 0.12 0.14 0.09
"ребенок" 0.08 0.04 0.24 0.03 0.08 0.13 0.07 0.2 0.15 0.08 0.13 0.01 0.06 0.14 0.02 0.1 0.02 0.11 0.16 0.21
"умирать" 0.05 0.05 0.08 0.04 0.15 0.15 0.06 0.1 0.15 0.16 0.08 0.08 0.08 0.1 0.12 0.12 0.04 0.15 0.14 0.15
"выходить" 0.09 0.09 0.07 0.09 0.09 0.11 0.1 0.17 0.13 0.16 0.13 0.15 0.1 0.09 0.09 0.05 0.07 0.04 0.08 0.12
"тогда" 0.08 0.16 0.09 0.07 0.08 0.13 0.07 0.14 0.08 0.13 0.04 0.06 0.08 0.09 0.08 0.04 0.08 0.11 0.2 0.19
