texts/ban_gu_starinnye_istorii_o_hanskom_u-di.txt	Старинные истории о ханьском У-ди — государе Воинственном		Бань	32−92 н. э.	Читается за 2 минуты		И. С. Смирнов	smirnov	Прочая литература->Китайская
texts/benjan_puteshestvie_piligrima.txt	Путешествие пилигрима		Баньян	1628–1688	Читается за 10 минут		Д. А. Карельский	karelsky	Европейская литература->Британская
texts/bar_apostol.txt	Апостол		Бар	1863–1934	Читается за 10 минут				Европейская литература->Австрийская
texts/baratynsky_cyganka.txt	Цыганка	1828	Баратынский	1800–1844	Читается за 6 минут	45 мин			Русская литература->19 век
texts/baratynsky_bal.txt	Бал	1828	Баратынский	1800–1844	Читается за 6 минут	15 мин			Русская литература->19 век
texts/baratynsky_eda.txt	Эда	1828	Баратынский	1800–1844	Читается за 4 минуты	15 мин			Русская литература->19 век
texts/barbjus_ogon.txt	Огонь		Барбюс	1873–1935	Читается за 7 минут	8 ч			Европейская литература->Французская
texts/baroha-i-nessi_alaja_zarja.txt	Алая заря		Бароха-и-Несси	1872–1956	Читается за 9 минут				Европейская литература->Испанская
texts/barri_piter_pen.txt	Питер Пэн		Барри	1860–1937	Читается за 7 минут	3 ч			Британская литература->Шотландская
texts/batyrev_45_tatuirovok_menedzhera.txt	45 татуировок менеджера. Правила российского руководителя		Батырев	род. 1979	Читается за 15 минут	6 ч			Русская литература->Современная
texts/baum_udivitelnyj_volshebnik_strany_oz.txt	Удивительный Волшебник из Страны Оз		Баум	1856–1919	Читается за 5 минут	3 ч	С. Б. Белов	belov	Американская литература->США
texts/baum_ozma_iz_strany_oz.txt	Озма из страны Оз		Баум	1856–1919	Читается за 6 минут	3 ч	С. Б. Белов	belov	Американская литература->США
texts/baum_rinkitink_v_strane_oz.txt	Ринкитинк в стране Оз		Баум	1856–1919	Читается за 7 минут	3,5 ч	С. Б. Белов	belov	Американская литература->США
texts/bakh_chayka_po_imeni_dzhonatan_livingston.txt	Чайка по имени Джонатан Ливингстон		Бах	род. 1936	Читается за 6 минут	1 ч			Американская литература->США
texts/bekket_v_ozhidanii_godo.txt	В ожидании Годо		Беккет	1906–1989	Читается за 12 минут	2 ч			Британская литература->Ирландская
texts/bellou_gercog.txt	Герцог		Беллоу	1915–2005	Читается за 11 минут	9 ч	Д. А. Карельский	karelsky	Американская литература->США
texts/bell_glazami_klouna.txt	Глазами клоуна		Бёлль	1917–1985	Читается за 9 минут	7 ч			Европейская литература->Немецкая
texts/bell_biljard_v_polovine_desjatogo.txt	Бильярд в половине десятого		Бёлль	1917–1985	Читается за 5 минут	9 ч			Европейская литература->Немецкая
texts/bell_gruppovoj_portret_s_damoj.txt	Групповой портрет с дамой		Бёлль	1917–1985	Читается за 10 минут	13 ч			Европейская литература->Немецкая
texts/belov_privychnoe_delo.txt	Привычное дело	1968	Белов	1932–2012	Читается за 7 минут	7 ч	П. Е. Спиваковский	201	Русская литература->Советская
texts/belov_takaya_voina.txt	Такая война	1968	Белов	1932–2012	Читается за 6 минут		П. Е. Спиваковский	201	Русская литература->Советская
texts/belov_plotnitskie_rasskazy.txt	Плотницкие рассказы	1968	Белов	1932–2012	Читается за 8 минут	2,5 ч	П. Е. Спиваковский	201	Русская литература->Советская
