texts/kornel_komicheskaia_illiuziia.txt	Комическая иллюзия	1640	Корнель	1606–1684	Читается за 2 минуты				Европейская литература->Французская
texts/kornel_rodoguna.txt	Родогуна	1640	Корнель	1606–1684	Читается за 7 минут				Европейская литература->Французская
texts/kornel_nikomed.txt	Никомед	1640	Корнель	1606–1684	Читается за 5 минут	1,5 ч	Д. А. Карельский	karelsky	Европейская литература->Французская
texts/kornel_cinna.txt	Цинна	1640	Корнель	1606–1684	Читается за 9 минут	1,5 ч	Д. А. Карельский	karelsky	Европейская литература->Французская
texts/korolenko_deti_podzemelia.txt	Дети подземелья	1885	Короленко	1853–1921	Читается за 4 минуты	1,5 ч	Константин Жидков	zhidkov	Русская литература->19 век
texts/korolenko_muzykant.txt	Слепой музыкант	1885	Короленко	1853–1921	Читается за 7 минут	4 ч			Русская литература->19 век
texts/korolenko_v_durnom.txt	В дурном обществе	1885	Короленко	1853–1921	Читается за 7 минут	2 ч			Русская литература->19 век
texts/kortasar_igra_v_klassiki.txt	Игра в классики	1960	Кортасар	1914–1984	Читается за 6 минут	15 ч			Латино­американская литература->Аргентинская
texts/kortasar_vyigryshi.txt	Выигрыши	1960	Кортасар	1914–1984	Читается за 9 минут	11 ч			Латино­американская литература->Аргентинская
texts/koster_legenda_ob_ulenshpigele.txt	Легенда об Уленшпигеле		Костер	1827–1879	Читается за 10 минут	13 ч			Прочая европейская литература->Бельгийская
texts/koelo_alkhimik.txt	Алхимик	2003	Коэльо	род. 1947	Читается за 14 минут	3 ч			Латино­американская литература->Бразильская
texts/koelo_11_minut.txt	Одиннадцать минут	2003	Коэльо	род. 1947	Читается за 8 минут	6 ч			Латино­американская литература->Бразильская
texts/kramer_50_dney_do_moego_samoubiystva.txt	50 дней до моего самоубийства		Крамер	род. 1996	Читается за 15 минут	14 ч			Русская литература->Современная
texts/krapivin_malchik_so_shpagoy.txt	Мальчик со шпагой	1964	Крапивин	род. 1938	Читается за 13 минут	9 ч			Русская литература->Советская
texts/krapivin_brat_kotoromu_sem.txt	Брат, которому семь	1964	Крапивин	род. 1938	Читается за 10 минут	3 ч			Русская литература->Советская
texts/krapivin_valkiny_druzia_i_parusa.txt	Валькины друзья и паруса	1964	Крапивин	род. 1938	Читается за 5 минут	2,5 ч			Русская литература->Советская
texts/krebijon-syn_zabluzhdenija_serdca_i_uma_ili_memuary_g-na_de_melkura.txt	Заблуждения сердца и ума, или Мемуары г-на де Мелькура		Кребийон	1707–1777	Читается за 15 минут				Европейская литература->Французская
texts/krestovskij_peterburgskie_trucshoby.txt	Петербургские трущобы		Крестовский	1840–1895	Читается за 14 минут	26 ч			Русская литература->19 век
texts/kristi_ubiystvo_v_vostochnom_ekspresse.txt	Убийство в «Восточном экспрессе»	1948	Кристи	1890–1976	Читается за 14 минут	4,5 ч			Европейская литература->Британская
texts/kristi_zagadka_endhauza.txt	Загадка Эндхауза	1948	Кристи	1890–1976	Читается за 9 минут	4,5 ч			Европейская литература->Британская
texts/kristi_nelepyy_domishko.txt	Нелепый домишко	1948	Кристи	1890–1976	Читается за 8 минут				Европейская литература->Британская
texts/kristi_ubiystvo_rodzhera_ekroyda.txt	Убийство Роджера Экройда	1948	Кристи	1890–1976	Читается за 12 минут	5 ч			Европейская литература->Британская
texts/kronin_citadel.txt	Цитадель		Кронин	1896–1981	Читается за 9 минут	12 ч			Британская литература->Шотландская
texts/kronin_zamok_broudi.txt	Замок Броуди		Кронин	1896–1981	Читается за 9 минут	18 ч			Британская литература->Шотландская
texts/krylov_podshchipa.txt	Подщипа	1806	Крылов	1769–1844	Читается за 5 минут	25 мин			Русская литература->18 век
texts/krylov_pochta_dukhov.txt	Почта духов	1806	Крылов	1769–1844	Читается за 15 минут				Русская литература->18 век
texts/krylov_urok_dochkam.txt	Урок дочкам	1806	Крылов	1769–1844	Читается за 6 минут				Русская литература->18 век
texts/kundera_nevynosimaja_legkost_bytija.txt	Невыносимая лёгкость бытия		Кундера	род. 1929	Читается за 9 минут	7 ч			Прочая европейская литература->Чешская
texts/kuper_poslednij_iz_mogikan_ili_povestvovanie_o_1757_gode.txt	Последний из могикан, или Повествование о 1757 годе	1841	Купер	1789–1851	Читается за 8 минут	10 ч	А. И. Лузин	52	Американская литература->США
texts/kuper_zveroboj_ili_pervaja_tropa_vojny.txt	Зверобой, или Первая тропа войны	1841	Купер	1789–1851	Читается за 8 минут	14 ч	А. И. Лузин	52	Американская литература->США
texts/kuper_sledopyt_ili_na_beregah_ontario.txt	Следопыт, или На берегах Онтарио	1841	Купер	1789–1851	Читается за 8 минут	13 ч	А. И. Лузин	52	Американская литература->США
texts/kuper_pionery_ili_u_istokov_saskuihanny.txt	Пионеры, или У истоков Саскуиханны	1841	Купер	1789–1851	Читается за 8 минут	13 ч	А. И. Лузин	52	Американская литература->США
texts/kuper_prerija.txt	Прерия	1841	Купер	1789–1851	Читается за 9 минут	11 ч	А. И. Лузин	52	Американская литература->США
texts/kuprin_braslet.txt	Гранатовый браслет	1897	Куприн	1870–1938	Читается за 6 минут	2 ч	И. Г. Животовский	zhivotovsky	Русская литература->19 век
texts/kuprin_olesja.txt	Олеся	1897	Куприн	1870–1938	Читается за 7 минут	2,5 ч			Русская литература->19 век
texts/kuprin_chudesnyy_doktor.txt	Чудесный доктор	1897	Куприн	1870–1938	Читается за 2 минуты	15 мин			Русская литература->19 век
texts/kuprin_poedinok.txt	Поединок	1897	Куприн	1870–1938	Читается за 7 минут	7 ч			Русская литература->19 век
texts/kerkegor_dnevnik_obolstitelja.txt	Дневник обольстителя		Кьеркегор	1813–1855	Читается за 10 минут	4,5 ч	Б. А. Ерхов	erkhov	Скандинавская литература->Датская
texts/keri_iz_ljubvi_k_blizhnemu.txt	Из любви к ближнему		Кэри	1888–1957	Читается за 9 минут				Европейская литература->Британская
texts/kerroll_alisa_v_strane_chudes.txt	Приключения Алисы в Стране чудес	1865	Кэрролл	1832–1898	Читается за 7 минут	2,5 ч			Европейская литература->Британская
texts/kerroll_alisa_v_zazerkale.txt	Сквозь зеркало и что там увидела Алиса, или Алиса в Зазеркалье	1865	Кэрролл	1832–1898	Читается за 6 минут	3,5 ч			Европейская литература->Британская
texts/labrjujer_haraktery_ili_nravy_nyneshnego_veka.txt	Характеры, или Нравы нынешнего века		Лабрюйер	1645–1696	Читается за 10 минут				Европейская литература->Французская
texts/lavkraft_zov_ktulkhu.txt	Зов Ктулху		Лавкрафт	1890–1937	Читается за 9 минут	1,5 ч			Американская литература->США
texts/lagerkvist_mariamna.txt	Мариамна		Лагерквист	1891–1974	Читается за 9 минут	1,5 ч	Б. А. Ерхов	erkhov	Скандинавская литература->Шведская
texts/lagerkvist_ulybka_vechnosti.txt	Улыбка вечности		Лагерквист	1891–1974	Читается за 12 минут	2 ч	Б. А. Ерхов	erkhov	Скандинавская литература->Шведская
texts/lagerlef_trilogija_o_levensheldah.txt	Трилогия о Лёвеншёльдах		Лагерлёф	1858–1940	Читается за 11 минут				Скандинавская литература->Шведская
texts/lagin_starik_khottabych.txt	Старик Хоттабыч		Лагин	1903–1979	Читается за 4 минуты	6 ч			Русская литература->Советская
texts/lazhechnikov_ledyanoi_dom.txt	Ледяной дом	1838	Лажечников	1792–1869	Читается за 25 минут	10 ч			Русская литература->19 век
texts/lazhechnikov_basurman.txt	Басурман	1838	Лажечников	1792–1869	Читается за 9 минут	11 ч			Русская литература->19 век
texts/laklo_opasnye_svjazi.txt	Опасные связи		Лакло	1741–1803	Читается за 10 минут	12 ч			Европейская литература->Французская
texts/laksness_islandskij_kolokol.txt	Исландский колокол		Лакснесс	1902–1998	Читается за 10 минут		Б. М. Волхонский	volkhonsky	Скандинавская литература->Исландская
texts/lafajet_princessa_klevskaja.txt	Принцесса Клевская		Лафайет	1634–1693	Читается за 12 минут				Европейская литература->Французская
texts/lafonten_basni.txt	Избранные басни		Лафонтен	1621–1695	Читается за 8 минут	2 ч			Европейская литература->Французская
texts/karre_shpion_prishedshij_s_holoda.txt	Шпион, пришедший с холода		Ле Карре	род. 1931	Читается за 5 минут	7 ч	А. П. Шишкин	shishkin	Европейская литература->Британская
texts/levy_genialnost_na_zakaz.txt	Гениальность на заказ: лёгкий способ поиска нестандартных решений и идей		Леви		Читается за 7 минут	4,5 ч			Американская литература->США
texts/levinson_partizanskiy_marketing.txt	Партизанский маркетинг: простые способы получения больших прибылей при малых затратах		Левинсон	1933–2013	Читается за 11 минут	15 ч			Американская литература->США
texts/levshin_russkie_skazki.txt	Русские сказки		Лёвшин	1746–1826	Читается за 15 минут		В. В. Рынкевич	rynkevich	Русская литература->18 век
texts/lem_soljaris.txt	Солярис	1991	Лем	1921–2006	Читается за 8 минут	6 ч			Европейская литература->Польская
texts/lem_zvezdnye_dnevniki_ijona_tihogo.txt	Звёздные дневники Ийона Тихого	1991	Лем	1921–2006	Читается за 7 минут	9 ч			Европейская литература->Польская
texts/lenglend_videnie_o_petre_pahare.txt	Видение о Петре Пахаре		Ленгленд	1332–1386	Читается за 9 минут				Европейская литература->Британская
texts/lensioni_piat_porokov_komandy.txt	Пять пороков команды: притчи о лидерстве		Ленсиони	род. 1965	Читается за 12 минут	4,5 ч			Американская литература->США
texts/lenc_urok_nemeckogo.txt	Урок немецкого		Ленц	1926–2014	Читается за 7 минут	14 ч			Европейская литература->Немецкая
texts/leonov_russkij_les.txt	Русский лес		Леонов	1899–1994	Читается за 7 минут	23 ч			Русская литература->Советская
texts/leonov_vor.txt	Вор		Леонов	1899–1994	Читается за 7 минут	19 ч			Русская литература->Советская
texts/leonov_zolotaia_kareta.txt	Золотая карета		Леонов	1899–1994	Читается за 15 минут				Русская литература->Советская
texts/lermontov_geroj_nashego_vremeni.txt	Герой нашего времени	1837	Лермонтов	1814–1841	Читается за 15 минут	4 ч			Русская литература->19 век
texts/lermontov_mcyri.txt	Мцыри	1837	Лермонтов	1814–1841	Читается за 5 минут	20 мин			Русская литература->19 век
texts/lermontov_pesnja_pro_kalashnikova.txt	Песня про царя Ивана Васильевича, молодого опричника и удалого купца Калашникова	1837	Лермонтов	1814–1841	Читается за 6 минут	20 мин			Русская литература->19 век
texts/lesazh_hromoj_bes.txt	Хромой бес		Лесаж	1668–1747	Читается за 11 минут	7 ч			Европейская литература->Французская
texts/lesazh_pohozhdenija_zhil_blasa_iz_santiljany.txt	Похождения Жиль Бласа из Сантильяны		Лесаж	1668–1747	Читается за 10 минут	23 ч			Европейская литература->Французская
texts/lesazh_tjurkare.txt	Тюркаре		Лесаж	1668–1747	Читается за 9 минут				Европейская литература->Французская
texts/leskov_levsha.txt	Левша. Сказ о тульском косом левше и стальной блохе	1866	Лесков	1831–1895	Читается за 4 минуты	50 мин			Русская литература->19 век
texts/leskov_ocharovannyj_strannik.txt	Очарованный странник	1866	Лесков	1831–1895	Читается за 15 минут	4,5 ч			Русская литература->19 век
texts/leskov_ledi_makbet.txt	Леди Макбет Мценского уезда	1866	Лесков	1831–1895	Читается за 4 минуты	1,5 ч			Русская литература->19 век
texts/lessing_emilija_galotti.txt	Эмилия Галотти		Лессинг	1729–1781	Читается за 8 минут	2 ч			Европейская литература->Немецкая
texts/lessing_natan_mudryj.txt	Натан Мудрый		Лессинг	1729–1781	Читается за 9 минут	2,5 ч			Европейская литература->Немецкая
texts/lessing_minna_fon_barnhelm_ili_soldatskoe_schaste.txt	Минна фон Барнхельм, или Солдатское счастье		Лессинг	1729–1781	Читается за 8 минут	2,5 ч			Европейская литература->Немецкая
texts/li_gunczo_pravitel_nanke.txt	Правитель Нанькэ		Ли_1	778–848	Читается за 3 минуты		И. С. Смирнов	smirnov	Прочая литература->Китайская
texts/li_juj_12_bashen.txt	Двенадцать башен		Ли_2	1610–1680	Читается за 40 минут	10 ч	И. С. Смирнов	smirnov	Прочая литература->Китайская
texts/li_ubit_peresmeshnika.txt	Убить пересмешника		Ли_3	1926–2016	Читается за 6 минут	8 ч			Американская литература->США
texts/li_chzhen_prodolzhenie_novyh_rasskazov.txt	Продолжение новых рассказов у горящего светильника		Ли_4	1376–1452	Читается за 5 минут		И. С. Смирнов	smirnov	Прочая литература->Китайская
texts/li_fujan_guljaka_i_volshebnik.txt	Гуляка и волшебник		Ли_5	775–833	Читается за 3 минуты		И. С. Смирнов	smirnov	Прочая литература->Китайская
texts/limonov_eto_ja_edichka.txt	Это я, Эдичка		Лимонов	род. 1943	Читается за 6 минут	9 ч	В. Н. Курицын	101	Русская литература->Современная
texts/lin_menchu_glinjanaja_besedka.txt	Глиняная беседка		Лин	1580–1644	Читается за 3 минуты		И. С. Смирнов	smirnov	Прочая литература->Китайская
texts/lin_menchu_zaklyatie_daosa.txt	Заклятие даоса		Лин	1580–1644	Читается за 2 минуты		И. С. Смирнов	smirnov	Прочая литература->Китайская
texts/lin_menchu_krasotka_mo_proschitalas.txt	Красотка Мо просчиталась		Лин	1580–1644	Читается за 4 минуты		И. С. Смирнов	smirnov	Прочая литература->Китайская
texts/lin_menchu_sapog_boga_erlana.txt	Сапог бога Эрлана		Лин	1580–1644	Читается за 5 минут		И. С. Смирнов	smirnov	Прочая литература->Китайская
texts/lindgren_peppi_sobiraetsia_v_put.txt	Пеппи собирается в путь	1948	Линдгрен	1907–2002	Читается за 8 минут				Скандинавская литература->Шведская
texts/lindgren_peppi_v_strane_veselii.txt	Пеппи в стране Веселии	1948	Линдгрен	1907–2002	Читается за 14 минут				Скандинавская литература->Шведская
texts/lindgren_peppi_poseliaetsia_v_ville_kuritca.txt	Пеппи поселяется в вилле «Курица»	1948	Линдгрен	1907–2002	Читается за 12 минут				Скандинавская литература->Шведская
texts/likhanov_poslednie_kholoda.txt	Последние холода		Лиханов	род. 1935	Читается за 9 минут	2,5 ч			Русская литература->Советская
texts/lomonosov_ody.txt	Оды		Ломоносов	1711–1765	Читается за 7 минут		Н. Н. Зубков	184	Русская литература->18 век
texts/lomonosov_petr_velikii.txt	Пётр Великий		Ломоносов	1711–1765	Читается за 6 минут		Н. Н. Зубков	184	Русская литература->18 век
texts/lomonosov_tamira_i_selim.txt	Тамира и Селим		Ломоносов	1711–1765	Читается за 7 минут		Н. Н. Зубков	184	Русская литература->18 век
texts/long_dafnis_i_xloja.txt	Дафнис и Хлоя		Лонг	II в.	Читается за 7 минут	2,5 ч	М. Л. Гаспаров	gasparov	Античная литература->Древнегреческая
texts/longfello_pesn_o_gajavate.txt	Песнь о Гайавате		Лонгфелло	1807–1882	Читается за 8 минут	2 ч			Американская литература->США
texts/london_martin_iden.txt	Мартин Иден	1905	Лондон	1876–1916	Читается за 7 минут	12 ч			Американская литература->США
texts/london_belyj_klyk.txt	Белый Клык	1905	Лондон	1876–1916	Читается за 7 минут	6 ч			Американская литература->США
texts/london_liubov_k_zhizni.txt	Любовь к жизни	1905	Лондон	1876–1916	Читается за 4 минуты	35 мин			Американская литература->США
texts/lourens_ljubovnik_ledi_chatterlej.txt	Любовник леди Чаттерлей		Лоуренс	1885–1930	Читается за 7 минут				Европейская литература->Британская
texts/louson_shapka_po_krugu.txt	Шапка по кругу		Лоусон	1867–1922	Читается за 9 минут		Я. В. Никитин	233	Прочая литература->Австралийская
texts/lukian_razgovory_bogov.txt	Разговоры богов		Лукиан	II в.	Читается за 20 минут		Ю. В. Шанин	226	Античная литература->Древнегреческая
texts/lukian_razgovory_v_tsarstve_mertvyx.txt	Разговоры в царстве мёртвых		Лукиан	II в.	Читается за 20 минут		Ю. В. Шанин	226	Античная литература->Древнегреческая
texts/lukian_ikaromenipp_idi_zaoblachnyj_polet.txt	Икароменипп, или Заоблачный полёт		Лукиан	II в.	Читается за 9 минут		Ю. В. Шанин	226	Античная литература->Древнегреческая
texts/lukin_mot_liuboviiu_ispravlennyi.txt	Мот, любовию исправленный	1765	Лукин	1737–1794	Читается за 9 минут				Русская литература->18 век
texts/lukin_shchepetilnik.txt	Щепетильник	1765	Лукин	1737–1794	Читается за 8 минут	2 ч			Русская литература->18 век
texts/le_shi_pjatnadcat_tysjach_ljunet.txt	Пятнадцать тысяч люнет		Лэ	930–1008	Читается за 3 минуты		И. С. Смирнов	smirnov	Прочая литература->Китайская
texts/le_shi_jan_gujfei.txt	Ян Гуйфэй		Лэ	930–1008	Читается за 2 минуты		И. С. Смирнов	smirnov	Прочая литература->Китайская
texts/lju_fu_vysokie_suzhdenija_u_dvorcovyh_vorot.txt	Высокие суждения у дворцовых ворот		Лю	XI–XII вв.	Читается за 6 минут		И. С. Смирнов	smirnov	Прочая литература->Китайская
texts/ma_chzhijuan_stela_iz_khrama_tczianfu.txt	В полночь гром поражает стелу из храма Цзяньфу		Ма	1270–1330	Читается за 3 минуты		В. Ф. Сорокин	sorokin	Прочая литература->Китайская
texts/ma_chzhijuan_osen_v_hanskom_dvorce.txt	Крик одинокого гуся отгоняет сны осенней порою в Ханьском дворце		Ма	1270–1330	Читается за 5 минут		И. С. Смирнов	smirnov	Прочая литература->Китайская
texts/magha_ubienie_shishupaly.txt	Убиение Шишупалы		Магха	VIII в.	Читается за 3 минуты		П. А. Гринцер	grincer	Прочая литература->Индийская
texts/maikov_elisei.txt	Елисей, или Раздражённый Вакх		Майков	1728–1778	Читается за 9 минут				Русская литература->18 век
texts/mejrink_golem.txt	Голем		Майринк	1868–1932	Читается за 7 минут	6 ч			Европейская литература->Австрийская
texts/makanin_gde_shodilos_nebo_s_holmami.txt	Где сходилось небо с холмами		Маканин	1937–2017	Читается за 7 минут	2 ч	В. М. Сотников	sotnikov	Русская литература->Современная
texts/makanin_kljucharev_i_alimushkin.txt	Ключарев и Алимушкин		Маканин	1937–2017	Читается за 4 минуты	35 мин	В. М. Сотников	sotnikov	Русская литература->Современная
texts/makarenko_flagi_na_bashniakh.txt	Флаги на башнях		Макаренко	1888–1939	Читается за 11 минут	15 ч			Русская литература->Советская
texts/mcgee_masterstvo_obshcheniia.txt	Мастерство общения: как найти общий язык с кем угодно		Макги	род. 1964	Читается за 15 минут	3,5 ч			Европейская литература->Британская
texts/makiavelli_gosudar.txt	Государь	1513	Макиавелли	1469–1527	Читается за 15 минут	2,5 ч			Европейская литература->Итальянская
texts/makiavelli_mandragora.txt	Мандрагора	1513	Макиавелли	1469–1527	Читается за 7 минут				Европейская литература->Итальянская
texts/makkalers_ballada_o_neveselom_kabachke.txt	Баллада о невесёлом кабачке		Маккалерс	1917–1967	Читается за 7 минут		С. Б. Белов	belov	Американская литература->США
texts/makkalou_poiushchie_v_ternovnike.txt	Поющие в терновнике		Маккалоу	1937–2015	Читается за 6 минут	21 ч			Прочая литература->Австралийская
texts/makkarti_koni_koni.txt	Кони, кони		Маккарти	род. 1933	Читается за 9 минут	8 ч	С. Б. Белов	belov	Американская литература->США
texts/mckeown_essentcializm.txt	Эссенциализм: путь к простоте		МакКеон	род. 1977	Читается за 11 минут	7 ч			Американская литература->США
texts/maksimov_sem_dnej_tvorenija.txt	Семь дней творения		Максимов	1930–1995	Читается за 13 минут	16 ч			Русская литература->Советская
texts/malo_bez_semi.txt	Без семьи		Мало	1830–1907	Читается за 10 минут	6 ч			Европейская литература->Французская
texts/malro_zavoevateli.txt	Завоеватели		Мальро	1901–1976	Читается за 8 минут	5 ч			Европейская литература->Французская
texts/malro_korolevslaja_doroga.txt	Королевская дорога		Мальро	1901–1976	Читается за 7 минут	4 ч			Европейская литература->Французская
texts/mamin-sibirjak_privalovskie_milliony.txt	Приваловские миллионы	1892	Мамин-Сибиряк	1852–1912	Читается за 12 минут	12 ч			Русская литература->19 век
texts/mamin-sibirjak_zoloto.txt	Золото	1892	Мамин-Сибиряк	1852–1912	Читается за 10 минут	8 ч			Русская литература->19 век
texts/mamleev_shatuny.txt	Шатуны		Мамлеев	1931–2015	Читается за 9 минут	4,5 ч	Л. А. Данилкин	151	Русская литература->Советская
texts/mandelshtam_chetvertaja_proza.txt	Четвёртая проза		Мандельштам	1891–1938	Читается за 5 минут	20 мин			Русская литература->Советская
texts/mandzoni_obruchennye.txt	Обручённые		Мандзони	1785–1873	Читается за 12 минут	20 ч			Европейская литература->Итальянская
texts/tomasmann_smert_v_venecii.txt	Смерть в Венеции	1901	Манн_1	1875–1955	Читается за 13 минут	2,5 ч			Европейская литература->Немецкая
texts/tomasmann_buddenbroki.txt	Будденброки	1901	Манн_1	1875–1955	Читается за 11 минут	19 ч			Европейская литература->Немецкая
texts/tomasmann_doktor_faustus.txt	Доктор Фаустус	1901	Манн_1	1875–1955	Читается за 8 минут	19 ч			Европейская литература->Немецкая
texts/mann_vernopoddannyj.txt	Верноподданный	1918	Манн_2	1871–1950	Читается за 8 минут	13 ч	Я. В. Никитин	233	Европейская литература->Немецкая
texts/mann_molodye_gody_korolja_genriha_iv.txt	Молодые годы короля Генриха IV	1918	Манн_2	1871–1950	Читается за 30 минут	18 ч			Европейская литература->Немецкая
texts/shamplen-marivo_zhizn_marianny_ili_prikljuchenija_grafini_de.txt	Жизнь Марианны, или Приключения графини де ***		Мариво	1688–1763	Читается за 9 минут	16 ч			Европейская литература->Французская
texts/mariengof_ciniki.txt	Циники		Мариенгоф	1897–1962	Читается за 7 минут	2,5 ч			Русская литература->Советская
texts/markes_sto_let_odinochestva.txt	Сто лет одиночества	1957	Маркес	1927–2014	Читается за 9 минут	14 ч			Латино­американская литература->Колумбийская
texts/markes_polkovniku_nikto_ne_pishet.txt	Полковнику никто не пишет	1957	Маркес	1927–2014	Читается за 7 минут	1,5 ч			Латино­американская литература->Колумбийская
texts/marlo_tragicheskaja_istorija_doktora_fausta.txt	Трагическая история доктора Фауста		Марло	1564–1593	Читается за 10 минут	1,5 ч			Европейская литература->Британская
texts/marlo_maltijskij_evrej.txt	Мальтийский еврей		Марло	1564–1593	Читается за 11 минут	1,5 ч			Европейская литература->Британская
texts/martinson_aniara.txt	Аниара: о человеке, времени и пространстве		Мартинсон	1904–1978	Читается за 7 минут		Б. А. Ерхов	erkhov	Скандинавская литература->Шведская
texts/marshak_dvenadcat_mesjacev.txt	Двенадцать месяцев	1957	Маршак	1887–1964	Читается за 5 минут	2 ч			Русская литература->Советская
texts/marshak_goria_boiatsia_schastia_ne_vidat.txt	Горя бояться — счастья не видать	1957	Маршак	1887–1964	Читается за 4 минуты	1,5 ч			Русская литература->Советская
texts/marshall_ia_umeiu_prygat_cherez_luzhi.txt	Я умею прыгать через лужи		Маршалл	1902–1984	Читается за 15 минут				Прочая литература->Австралийская
texts/matinskii_sankt_peterburgskii_gostinyi_dvor.txt	Санкт-Петербургский гостиный двор		Матинский	1750–1820	Читается за 8 минут				Русская литература->18 век
texts/majakovskij_oblako_v_shtanah.txt	Облако в штанах	1929	Маяковский	1893–1930	Читается за 4 минуты	25 мин			Русская литература->Советская
texts/majakovskij_klop.txt	Клоп	1929	Маяковский	1893–1930	Читается за 5 минут	1,5 ч			Русская литература->Советская
texts/majakovskij_banja.txt	Баня	1929	Маяковский	1893–1930	Читается за 5 минут				Русская литература->Советская
texts/mejer_jurg_enach.txt	Юрг Енач		Мейер	1825–1898	Читается за 9 минут				Прочая европейская литература->Швейцарская
texts/mejler_nagie_i_mertvye.txt	Нагие и мёртвые		Мейлер	1923–2007	Читается за 8 минут	21 ч	С. Б. Белов	belov	Американская литература->США
texts/melvill_mobi_dik_ili_belyj_kit.txt	Моби Дик, или Белый Кит	1850	Мелвилл	1819–1891	Читается за 12 минут	22 ч	М. В. Бутов	161	Американская литература->США
texts/melvill_belyj_bushlat.txt	Белый Бушлат	1850	Мелвилл	1819–1891	Читается за 8 минут	17 ч	М. В. Бутов	161	Американская литература->США
texts/melvill_tajpi.txt	Тайпи	1850	Мелвилл	1819–1891	Читается за 10 минут	3,5 ч	М. В. Бутов	161	Американская литература->США
texts/mele_zavecshanie.txt	Завещание		Мелье	1664–1729	Читается за 15 минут				Европейская литература->Французская
texts/melnikov_v_lesah.txt	В лесах	1874	Мельников	1818–1883	Читается за 15 минут	32 ч	В. П. Мещеряков	104	Русская литература->19 век
texts/melnikov_na_gorah.txt	На горах	1874	Мельников	1818–1883	Читается за 20 минут	32 ч	В. П. Мещеряков	104	Русская литература->19 век
texts/menandr_brjuzga.txt	Брюзга		Менандр	342−291 до н. э.	Читается за 5 минут	55 мин	Ю. В. Шанин	226	Античная литература->Древнегреческая
texts/menandr_treteyskiy_sud.txt	Третейский суд		Менандр	342−291 до н. э.	Читается за 3 минуты	50 мин	Ю. В. Шанин	226	Античная литература->Древнегреческая
texts/menandr_otrezannaja_kosa_ili_ostrizhennaja.txt	Отрезанная коса, или Остриженная		Менандр	342−291 до н. э.	Читается за 4 минуты		Ю. В. Шанин	226	Античная литература->Древнегреческая
texts/merdok_chernyj_princ.txt	Чёрный принц		Мёрдок	1919–1999	Читается за 13 минут	12 ч			Европейская литература->Британская
texts/merdok_ditja_slova.txt	Дитя слова		Мёрдок	1919–1999	Читается за 11 минут	13 ч			Европейская литература->Британская
texts/merezhkovskij_hristos_i_antihrist.txt	Христос и Антихрист		Мережковский	1865–1941	Читается за 25 минут		Л. А. Данилкин	151	Русская литература->19 век
texts/merime_matteo_falkone.txt	Маттео Фальконе	1837	Мериме	1803–1870	Читается за 7 минут	20 мин			Европейская литература->Французская
texts/merime_karmen.txt	Кармен	1837	Мериме	1803–1870	Читается за 6 минут	2 ч			Европейская литература->Французская
texts/merime_tamango.txt	Таманго	1837	Мериме	1803–1870	Читается за 10 минут	40 мин	Алексей Портсмунт	69	Европейская литература->Французская
texts/merl_za_steklom.txt	За стеклом		Мерль	1908–2004	Читается за 7 минут	11 ч			Европейская литература->Французская
texts/merl_ostrov.txt	Остров		Мерль	1908–2004	Читается за 9 минут	14 ч			Европейская литература->Французская
texts/merl_razumnoe_zhivotnoe.txt	Разумное животное		Мерль	1908–2004	Читается за 7 минут	11 ч			Европейская литература->Французская
texts/merse_2440_god.txt	2440 год		Мерсье	1740–1814	Читается за 9 минут				Европейская литература->Французская
texts/merse_kartiny_parizha.txt	Картины Парижа		Мерсье	1740–1814	Читается за 8 минут				Европейская литература->Французская
texts/merton_samoispolniaiushcheesia_prorochestvo.txt	Самоисполняющееся пророчество		Мертон	1910–2003	Читается за 9 минут		Сергей Багузин	260	Американская литература->США
texts/metastazio_demofont.txt	Демофонт		Метастазио	1698–1782	Читается за 12 минут				Европейская литература->Итальянская
texts/meterlink_sinjaja_ptica.txt	Синяя птица	1902	Метерлинк	1862–1949	Читается за 11 минут	2,5 ч			Прочая европейская литература->Бельгийская
texts/meterlink_slepye.txt	Слепые	1902	Метерлинк	1862–1949	Читается за 4 минуты	35 мин			Прочая европейская литература->Бельгийская
texts/meterlink_tam_vnutri.txt	Там, внутри	1902	Метерлинк	1862–1949	Читается за 4 минуты	20 мин			Прочая европейская литература->Бельгийская
texts/meterlink_monna_vanna.txt	Монна Ванна	1902	Метерлинк	1862–1949	Читается за 8 минут				Прочая европейская литература->Бельгийская
texts/miller2_smert_kommivojazhera.txt	Смерть коммивояжёра	1949	Миллер_1	1915–2005	Читается за 8 минут	2,5 ч			Американская литература->США
texts/miller2_eto_sluchilos_v_vishi.txt	Это случилось в Виши	1949	Миллер_1	1915–2005	Читается за 5 минут	1,5 ч			Американская литература->США
texts/miller_tropik_raka.txt	Тропик Рака		Миллер_2	1891–1980	Читается за 6 минут	4,5 ч	Н. М. Пальцев	183	Американская литература->США
texts/miln_vinni-puh_i_vse-vse-vse.txt	Винни-Пух и все-все-все		Милн	1882–1956	Читается за 8 минут	3,5 ч			Европейская литература->Британская
texts/miln_dvoe.txt	Двое		Милн	1882–1956	Читается за 7 минут	7 ч			Европейская литература->Британская
texts/milton_poterjannyj_raj.txt	Потерянный рай		Мильтон	1608–1674	Читается за 9 минут	7 ч	В. В. Рынкевич	rynkevich	Европейская литература->Британская
