"X123_part1" "X123_part2" "X123_part3" "X123_part4" "X152_part1" "X152_part2" "X165_part1" "X165_part2" "X226_part1" "X226_part2" "X226_part3" "X227_part1" "X227_part2" "X233_part1" "X233_part2" "belov_part1" "belov_part2" "belov_part3" "belov_part4" "belov_part5" "erkhov_part1" "erkhov_part2" "erkhov_part3" "erkhov_part4" "gasparov_part1" "gasparov_part2" "gasparov_part3" "gasparov_part4" "gasparov_part5" "gasparov_part6" "gasparov_part7" "gasparov_part8" "gasparov_part9" "karelsky_part1" "karelsky_part2" "karelsky_part3" "karelsky_part4" "karelsky_part5" "karelsky_part6" "karelsky_part7" "karelsky_part8" "karelsky_part9" "kostyrko_part1" "kostyrko_part2" "rynkevich_part1" "rynkevich_part2" "rynkevich_part3" "sanovich_part1" "sanovich_part2" "sanovich_part3" "sanovich_part4" "shishkin_part1" "shishkin_part2" "shishkin_part3" "shishkin_part4" "shishkin_part5" "smirnov_part1" "smirnov_part2" "smirnov_part3" "smirnov_part4" "zhidkov_part1" "zhidkov_part2" "zhivotovsky_part1" "zhivotovsky_part2"
"от" 0.32 0.52 0.42 0.42 0.44 0.38 0.5 0.26 0.46 0.54 0.48 0.62 0.48 0.28 0.44 0.36 0.46 0.32 0.42 0.36 0.54 0.36 0.52 0.28 0.48 0.9 0.42 0.58 0.4 0.48 0.46 0.58 0.5 0.54 0.36 0.74 0.42 0.48 0.62 0.46 0.56 0.42 0.38 0.34 0.52 0.54 0.98 0.42 0.14 0.48 0.36 0.88 0.52 0.46 0.38 0.54 0.4 0.36 0.56 0.24 0.42 0.72 0.46 0.4
"о" 0.42 0.4 0.4 0.44 0.4 0.32 0.48 0.56 0.36 0.58 0.26 0.38 0.44 0.74 0.38 0.4 0.36 0.54 0.38 0.56 0.26 0.38 0.26 0.34 0.38 0.4 0.62 0.72 0.48 0.32 0.14 0.76 0.76 0.26 0.36 0.32 0.62 0.36 0.62 0.62 0.46 0.44 0.34 0.56 0.56 0.44 0.5 0.42 0.38 0.42 0.44 0.46 0.58 0.52 0.48 0.72 0.5 0.46 0.48 0.28 0.64 0.36 0.54 0.46
"по" 0.52 0.5 0.56 0.4 0.56 0.4 0.38 0.44 0.42 0.44 0.46 0.24 0.44 0.54 0.72 0.6 0.62 0.56 0.4 0.6 0.48 0.48 0.38 0.44 0.68 0.28 0.24 0.14 0.36 0.42 0.5 0.32 0.42 0.8 0.48 0.32 0.46 0.32 0.52 0.48 0.46 0.52 0.72 0.54 0.36 0.22 0.46 0.32 0.38 0.44 0.38 0.48 0.44 0.3 0.22 0.34 0.64 0.56 0.46 0.42 0.4 0.48 0.6 0.24
"это" 0.36 0.34 0.5 0.44 0.48 0.94 0.36 0.46 0.36 0.58 0.62 0.58 0.58 0.38 0.54 0.24 0.3 0.36 0.52 0.32 0.42 0.42 0.56 0.48 0.82 0.72 0.56 0.76 0.44 0.92 0.58 0.7 0.86 0.2 0.48 0.34 0.3 0.32 0.38 0.3 0.32 0.5 0.38 0.46 0.3 0.24 0.32 0.32 0.44 0.32 0.38 0.5 0.26 0.5 0.36 0.42 0.2 0.18 0.14 0.22 0.6 0.62 0.3 0.38
"тот" 0.5 0.56 0.54 0.6 0.3 0.16 0.44 0.32 0.36 0.46 0.48 0.66 0.52 0.32 0.5 0.46 0.48 0.58 0.26 0.54 0.24 0.32 0.32 0.16 0.54 0.34 0.3 0.08 0.28 0.42 0.16 0.44 0.3 0.44 0.38 0.56 0.6 0.6 0.4 0.48 0.62 0.48 0.22 0.36 0.44 0.32 0.52 0.34 0.36 0.36 0.36 0.62 0.28 0.5 0.58 0.38 0.82 0.96 0.96 0.98 0.42 0.48 0.22 0.1
"у" 0.42 0.38 0.44 0.66 0.38 0.16 0.34 0.36 0.32 0.28 0.42 0.34 0.16 0.56 0.5 0.48 0.38 0.58 0.4 0.32 0.62 0.5 0.34 0.8 0.78 0.5 0.5 0.42 0.52 0.84 0.5 0.32 0.36 0.5 0.48 0.36 0.32 0.28 0.16 0.38 0.34 0.42 0.4 0.34 0.3 0.24 0.26 0.32 0.44 0.5 0.48 0.46 0.3 0.34 0.34 0.34 0.56 0.38 0.46 0.62 0.16 0.16 0.38 0.4
"весь" 0.28 0.46 0.3 0.2 0.46 0.54 0.46 0.26 0.4 0.56 0.36 0.72 0.72 0.26 0.46 0.22 0.44 0.42 0.48 0.36 0.5 0.32 0.68 0.34 0.24 0.56 0.3 0.22 0.28 0.28 0.24 0.2 0.28 0.3 0.42 0.44 0.52 0.34 0.44 0.44 0.3 0.54 0.54 0.1 0.68 0.4 0.52 0.26 0.22 0.38 0.34 0.42 0.26 0.5 0.38 0.36 0.26 0.46 0.22 0.32 0.76 0.76 0.18 0.34
"этот" 0.26 0.4 0.4 0.54 0.5 0.62 0.5 0.4 0.32 0.36 0.4 0.7 0.72 0.58 0.92 0.38 0.48 0.28 0.36 0.3 0.36 0.24 0.32 0.2 0.32 0.3 0.24 0.6 0.36 0.48 0.28 0.42 0.58 0.66 0.36 0.54 0.24 0.24 0.36 0.3 0.5 0.3 0.3 0.34 0.36 0.38 0.38 0.36 0.3 0.36 0.28 0.44 0.4 0.52 0.28 0.26 0.16 0.22 0.18 0.08 0.68 0.38 0.44 0.34
"все" 0.26 0.44 0.32 0.42 0.52 0.58 0.2 0.26 0.4 0.5 0.4 0.32 0.56 0.26 0.5 0.24 0.2 0.34 0.34 0.38 0.2 0.28 0.66 0.22 0.24 0.42 0.3 0.28 0.34 0.32 0.28 0.18 0.16 0.34 0.42 0.44 0.36 0.38 0.36 0.26 0.34 0.4 0.44 0.22 0.48 0.24 0.38 0.34 0.24 0.14 0.28 0.34 0.28 0.3 0.36 0.32 0.44 0.4 0.64 0.36 0.56 0.4 0.26 0.24
"человек" 0.3 0.36 0.24 0.42 0.36 0.74 0.36 0.52 0.2 0.42 0.24 0.52 0.32 0.36 0.28 0.16 0.42 0.16 0.32 0.16 0.24 0.34 0.6 0.16 0.08 0.2 0.28 0.18 0.28 0.22 0.36 0.32 0.38 0.38 0.48 0.16 0.12 0.16 0.06 0.06 0.06 0.14 0.52 0.32 0.24 0.4 0.14 1.56 0.14 0.14 0.4 0.6 0.16 0.46 0.18 0.22 0.26 0.36 0.16 0.16 1 1.16 0.5 0.4
